/* DATA DESCRIPTION:
Citation:	Rae, James W B; Sarnthein, Michael; Foster, Gavin L; Ridgwell, Andy; Grootes, Pieter Meiert; Elliott, Tim (2014): (Table 4) Atmospheric 14C record used for calculating foram-atmosphere reservoir ages. PANGAEA, https://doi.org/10.1594/PANGAEA.833525, 
	In supplement to: Rae, JWB et al. (2014): Deep water formation in the North Pacific and deglacial CO2 rise. Paleoceanography, 29(6), 645-667, https://doi.org/10.1002/2013PA002570
Further details:	Reimer, Paula J; Baillie, Mike G L; Bard, Edouard; Bayliss, Alex; Beck, J Warren; Blackwell, Paul G; Ramsey, Christopher Bronk; Burr, George S; Edwards, R Lawrence; Friedrich, Michael; Grootes, Pieter Meiert; Guilderson, Thomas P; Hajdas, Irena; Heaton, T J; Hogg, Alan G; Hughen, Konrad A; Kaiser, Klaus-Felix; Kromer, Bernd; McCormac, F Gerry; Manning, Sturt W; Reimer, Ron W; Richards, David A; Southon, John R; Talamo, Sahra; Turney, Chris S M; van der Plicht, Johannes; Weyhenmeyer, Constanze E (2009): IntCal09 and Marine09 Radiocarbon Age Calibration Curves, 0-50,000 Years cal BP. Radiocarbon, 51(4), 1111-1150, https://doi.org/10.1017/S0033822200034202
	Southon, John; Noronha, Alexandra L; Cheng, Hai; Edwards, R Lawrence; Wang, Yongjin (2012): A high-resolution record of atmospheric 14C based on Hulu Cave speleothem H82. Quaternary Science Reviews, 33, 32-41, https://doi.org/10.1016/j.quascirev.2011.11.022
Comment:	Based on IntCal09 from 0-15 and 26-50 kyr BP, and Southon et al. 2012's Hulu Cave 14C record from 15-26 kyr BP.
Parameter(s):	AGE [ka BP] (Age) * GEOCODE
	Age, dated [ka] (Age dated) * PI: Rae, James W B (https://orcid.org/0000-0003-3904-2526, jwbr@st-andrews.ac.uk, http://earthsci.st-andrews.ac.uk/profile_jwbr.aspx) * METHOD/DEVICE: Age, 14C conventional
	Age, error [±] (Age e) * PI: Rae, James W B (https://orcid.org/0000-0003-3904-2526, jwbr@st-andrews.ac.uk, http://earthsci.st-andrews.ac.uk/profile_jwbr.aspx) * METHOD/DEVICE: Age, 14C conventional * COMMENT: 1 sigma
	Δ14C [‰] (Δ14C) * PI: Rae, James W B (https://orcid.org/0000-0003-3904-2526, jwbr@st-andrews.ac.uk, http://earthsci.st-andrews.ac.uk/profile_jwbr.aspx)
	Δ14C, standard deviation [±] (Δ14C std dev) * PI: Rae, James W B (https://orcid.org/0000-0003-3904-2526, jwbr@st-andrews.ac.uk, http://earthsci.st-andrews.ac.uk/profile_jwbr.aspx)
	Reference/source (Reference) * PI: Rae, James W B (https://orcid.org/0000-0003-3904-2526, jwbr@st-andrews.ac.uk, http://earthsci.st-andrews.ac.uk/profile_jwbr.aspx)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	15415 data points
*/
Age [ka BP]	Age dated [ka]	Age e [±]	Δ14C [‰]	Δ14C std dev [±]	Reference
44.400	40.533	0.275	384.3	47.4	IntCal09
44.300	40.360	0.267	397.4	46.4	IntCal09
44.200	40.181	0.254	411.7	44.6	IntCal09
44.100	40.006	0.232	425.5	41.2	IntCal09
44.000	39.869	0.215	432.6	38.3	IntCal09
43.900	39.766	0.208	433.6	37.1	IntCal09
43.800	39.684	0.206	430.9	36.7	IntCal09
43.700	39.611	0.209	426.6	37.1	IntCal09
43.600	39.535	0.205	422.9	36.3	IntCal09
43.500	39.441	0.204	422.3	36.1	IntCal09
43.400	39.321	0.223	426.3	39.6	IntCal09
43.300	39.189	0.244	432.5	43.5	IntCal09
43.200	39.048	0.257	440.4	46.1	IntCal09
43.100	38.896	0.262	450.2	47.3	IntCal09
43.000	38.742	0.260	460.5	47.3	IntCal09
42.900	38.589	0.256	470.7	46.9	IntCal09
42.800	38.434	0.255	481.3	47.0	IntCal09
42.700	38.279	0.251	492.0	46.6	IntCal09
42.600	38.126	0.240	502.4	44.9	IntCal09
42.500	37.980	0.227	511.6	42.7	IntCal09
42.400	37.838	0.225	520.1	42.6	IntCal09
42.300	37.691	0.234	529.5	44.6	IntCal09
42.200	37.536	0.246	540.6	47.2	IntCal09
42.100	37.374	0.257	553.1	49.7	IntCal09
42.000	37.202	0.262	567.6	51.1	IntCal09
41.900	37.033	0.261	581.7	51.4	IntCal09
41.800	36.866	0.251	595.5	49.9	IntCal09
41.700	36.709	0.241	607.4	48.2	IntCal09
41.600	36.560	0.232	617.8	46.7	IntCal09
41.500	36.418	0.226	626.9	45.8	IntCal09
41.400	36.277	0.224	635.8	45.6	IntCal09
41.300	36.136	0.222	644.7	45.5	IntCal09
41.200	35.992	0.217	654.3	44.7	IntCal09
41.100	35.847	0.208	664.2	43.1	IntCal09
41.000	35.694	0.195	675.8	40.7	IntCal09
40.900	35.558	0.178	683.9	37.3	IntCal09
40.800	35.480	0.186	679.9	38.9	IntCal09
40.700	35.405	0.197	675.3	41.1	IntCal09
40.600	35.321	0.209	672.5	43.5	IntCal09
40.500	35.229	0.217	671.5	45.2	IntCal09
40.400	35.130	0.215	671.8	44.7	IntCal09
40.300	35.034	0.202	671.6	42.0	IntCal09
40.200	34.951	0.185	668.7	38.4	IntCal09
40.100	34.876	0.176	664.1	36.5	IntCal09
40.000	34.786	0.168	662.6	34.8	IntCal09
39.950	34.751	0.160	659.8	33.1	IntCal09
39.900	34.735	0.157	653.0	32.3	IntCal09
39.850	34.739	0.161	642.3	32.9	IntCal09
39.800	34.746	0.164	630.9	33.3	IntCal09
39.750	34.744	0.166	621.5	33.5	IntCal09
39.700	34.733	0.169	613.9	34.0	IntCal09
39.650	34.712	0.177	608.4	35.4	IntCal09
39.600	34.684	0.186	604.3	37.1	IntCal09
39.550	34.651	0.193	601.2	38.5	IntCal09
39.500	34.615	0.196	598.7	39.0	IntCal09
39.450	34.577	0.196	596.6	39.0	IntCal09
39.400	34.540	0.194	594.3	38.5	IntCal09
39.350	34.505	0.190	591.6	37.6	IntCal09
39.300	34.472	0.185	588.5	36.6	IntCal09
39.250	34.442	0.179	584.8	35.3	IntCal09
39.200	34.414	0.175	580.7	34.4	IntCal09
39.150	34.385	0.174	576.9	34.2	IntCal09
39.100	34.351	0.178	574.0	34.9	IntCal09
39.050	34.310	0.186	572.5	36.4	IntCal09
39.000	34.258	0.199	573.2	39.0	IntCal09
38.950	34.194	0.212	576.2	41.6	IntCal09
38.900	34.119	0.223	581.4	43.9	IntCal09
38.850	34.035	0.229	588.4	45.3	IntCal09
38.800	33.946	0.231	596.4	45.9	IntCal09
38.750	33.852	0.229	605.5	45.8	IntCal09
38.700	33.759	0.224	614.4	45.0	IntCal09
38.650	33.666	0.216	623.3	43.6	IntCal09
38.600	33.574	0.205	632.1	41.7	IntCal09
38.550	33.486	0.193	640.2	39.4	IntCal09
38.500	33.401	0.180	647.6	36.9	IntCal09
38.450	33.324	0.167	653.4	34.4	IntCal09
38.400	33.267	0.155	655.2	31.9	IntCal09
38.350	33.244	0.152	649.9	31.2	IntCal09
38.300	33.248	0.157	639.1	32.0	IntCal09
38.250	33.259	0.161	627.0	32.6	IntCal09
38.200	33.264	0.165	616.2	33.2	IntCal09
38.150	33.264	0.168	606.5	33.6	IntCal09
38.100	33.255	0.172	598.6	34.2	IntCal09
38.050	33.242	0.175	591.5	34.7	IntCal09
38.000	33.227	0.177	584.9	34.9	IntCal09
37.950	33.211	0.179	578.4	35.2	IntCal09
37.900	33.194	0.179	572.3	35.0	IntCal09
37.850	33.177	0.180	566.1	35.1	IntCal09
37.800	33.161	0.180	559.7	35.0	IntCal09
37.750	33.143	0.181	553.8	35.0	IntCal09
37.700	33.120	0.182	548.9	35.1	IntCal09
37.650	33.091	0.184	545.1	35.4	IntCal09
37.600	33.059	0.185	541.9	35.5	IntCal09
37.550	33.025	0.186	539.1	35.6	IntCal09
37.500	32.989	0.185	536.7	35.4	IntCal09
37.450	32.953	0.183	534.3	35.0	IntCal09
37.400	32.918	0.179	531.7	34.1	IntCal09
37.350	32.884	0.174	528.9	33.1	IntCal09
37.300	32.853	0.168	525.6	31.9	IntCal09
37.250	32.825	0.161	521.7	30.5	IntCal09
37.200	32.801	0.155	517.0	29.3	IntCal09
37.150	32.778	0.151	512.2	28.4	IntCal09
37.100	32.754	0.150	507.6	28.2	IntCal09
37.050	32.726	0.153	503.7	28.6	IntCal09
37.000	32.692	0.158	501.0	29.5	IntCal09
36.950	32.650	0.164	499.8	30.6	IntCal09
36.900	32.599	0.169	500.2	31.6	IntCal09
36.850	32.541	0.171	502.0	32.0	IntCal09
36.800	32.473	0.171	505.6	32.1	IntCal09
36.750	32.399	0.171	510.4	32.2	IntCal09
36.700	32.315	0.170	517.1	32.1	IntCal09
36.650	32.221	0.173	525.7	32.9	IntCal09
36.600	32.113	0.178	537.0	34.1	IntCal09
36.550	31.987	0.182	551.9	35.2	IntCal09
36.500	31.859	0.179	567.3	34.9	IntCal09
36.450	31.757	0.180	577.7	35.4	IntCal09
36.400	31.675	0.191	584.3	37.7	IntCal09
36.350	31.587	0.196	592.1	38.8	IntCal09
36.300	31.487	0.192	602.3	38.3	IntCal09
36.250	31.372	0.185	615.6	37.2	IntCal09
36.200	31.252	0.177	630.1	35.9	IntCal09
36.150	31.160	0.170	638.9	34.7	IntCal09
36.100	31.106	0.165	640.0	33.7	IntCal09
36.050	31.093	0.145	632.7	29.5	IntCal09
36.000	31.139	0.168	613.6	33.7	IntCal09
35.950	31.220	0.205	587.8	40.5	IntCal09
35.900	31.304	0.212	561.8	41.2	IntCal09
35.850	31.373	0.202	539.1	38.7	IntCal09
35.800	31.420	0.187	520.9	35.4	IntCal09
35.750	31.440	0.173	508.0	32.5	IntCal09
35.700	31.430	0.166	500.8	31.0	IntCal09
35.650	31.394	0.164	498.4	30.6	IntCal09
35.600	31.338	0.163	499.8	30.4	IntCal09
35.550	31.272	0.158	503.1	29.6	IntCal09
35.500	31.215	0.151	504.6	28.3	IntCal09
35.450	31.182	0.152	501.7	28.4	IntCal09
35.400	31.155	0.155	497.7	28.9	IntCal09
35.350	31.124	0.160	494.4	29.8	IntCal09
35.300	31.083	0.171	493.0	31.8	IntCal09
35.250	31.030	0.188	493.8	35.0	IntCal09
35.200	30.962	0.209	497.4	39.0	IntCal09
35.150	30.877	0.228	504.2	42.7	IntCal09
35.100	30.778	0.237	513.7	44.7	IntCal09
35.050	30.675	0.231	524.0	43.8	IntCal09
35.000	30.578	0.210	533.2	40.1	IntCal09
34.950	30.491	0.185	540.5	35.5	IntCal09
34.900	30.417	0.166	545.4	31.9	IntCal09
34.850	30.345	0.162	549.9	31.3	IntCal09
34.800	30.265	0.172	556.0	33.3	IntCal09
34.750	30.168	0.185	565.4	36.1	IntCal09
34.700	30.054	0.197	578.2	38.7	IntCal09
34.650	29.924	0.204	594.3	40.5	IntCal09
34.600	29.784	0.206	612.5	41.4	IntCal09
34.550	29.636	0.201	632.6	40.9	IntCal09
34.500	29.484	0.191	653.8	39.3	IntCal09
34.450	29.356	0.169	670.2	35.1	IntCal09
34.400	29.310	0.160	669.7	33.3	IntCal09
34.350	29.325	0.169	656.5	34.8	IntCal09
34.300	29.343	0.176	642.8	36.0	IntCal09
34.250	29.350	0.181	631.5	36.8	IntCal09
34.200	29.345	0.183	622.7	37.0	IntCal09
34.150	29.330	0.184	615.9	37.0	IntCal09
34.100	29.308	0.182	610.6	36.5	IntCal09
34.050	29.280	0.177	606.4	35.4	IntCal09
34.000	29.253	0.168	602.1	33.5	IntCal09
33.950	29.229	0.157	597.2	31.2	IntCal09
33.900	29.210	0.147	591.4	29.1	IntCal09
33.850	29.199	0.138	583.9	27.2	IntCal09
33.800	29.196	0.130	575.0	25.5	IntCal09
33.750	29.198	0.122	565.1	23.8	IntCal09
33.700	29.198	0.114	555.6	22.1	IntCal09
33.650	29.177	0.116	550.3	22.4	IntCal09
33.600	29.138	0.123	548.5	23.7	IntCal09
33.550	29.095	0.128	547.4	24.7	IntCal09
33.500	29.052	0.131	546.3	25.2	IntCal09
33.450	29.008	0.136	545.4	26.2	IntCal09
33.400	28.959	0.142	545.5	27.3	IntCal09
33.350	28.903	0.150	546.9	28.9	IntCal09
33.300	28.842	0.156	549.3	30.1	IntCal09
33.250	28.779	0.157	552.1	30.3	IntCal09
33.200	28.718	0.152	554.5	29.4	IntCal09
33.150	28.663	0.143	555.7	27.7	IntCal09
33.100	28.616	0.134	555.4	25.9	IntCal09
33.050	28.575	0.132	554.0	25.5	IntCal09
33.000	28.535	0.133	552.3	25.7	IntCal09
32.950	28.492	0.137	551.2	26.5	IntCal09
32.900	28.445	0.139	550.9	26.8	IntCal09
32.850	28.400	0.138	550.2	26.6	IntCal09
32.800	28.358	0.137	549.0	26.4	IntCal09
32.750	28.322	0.136	546.5	26.2	IntCal09
32.700	28.290	0.137	543.3	26.3	IntCal09
32.650	28.261	0.139	539.6	26.6	IntCal09
32.600	28.234	0.141	535.5	27.0	IntCal09
32.550	28.208	0.143	531.1	27.3	IntCal09
32.500	28.183	0.144	526.7	27.4	IntCal09
32.450	28.162	0.144	521.4	27.3	IntCal09
32.400	28.146	0.144	515.3	27.2	IntCal09
32.350	28.134	0.145	508.4	27.2	IntCal09
32.300	28.123	0.147	501.3	27.5	IntCal09
32.250	28.111	0.150	494.5	27.9	IntCal09
32.200	28.093	0.155	488.8	28.7	IntCal09
32.150	28.069	0.159	484.3	29.4	IntCal09
32.100	28.040	0.163	480.7	30.0	IntCal09
32.050	28.006	0.164	478.0	30.2	IntCal09
32.000	27.968	0.162	476.0	29.8	IntCal09
31.950	27.931	0.157	473.9	28.8	IntCal09
31.900	27.895	0.150	471.6	27.5	IntCal09
31.850	27.862	0.143	468.7	26.1	IntCal09
31.800	27.831	0.139	465.5	25.4	IntCal09
31.750	27.798	0.140	462.7	25.5	IntCal09
31.700	27.758	0.148	461.1	26.9	IntCal09
31.650	27.705	0.163	461.9	29.7	IntCal09
31.600	27.636	0.178	465.7	32.5	IntCal09
31.550	27.552	0.188	472.1	34.5	IntCal09
31.500	27.456	0.186	480.8	34.3	IntCal09
31.450	27.355	0.172	490.5	31.9	IntCal09
31.400	27.251	0.157	500.9	29.3	IntCal09
31.350	27.139	0.152	512.8	28.6	IntCal09
31.300	27.022	0.156	525.7	29.6	IntCal09
31.250	26.902	0.171	539.3	32.8	IntCal09
31.200	26.769	0.191	555.6	37.0	IntCal09
31.150	26.626	0.197	574.0	38.6	IntCal09
31.100	26.487	0.190	591.8	37.6	IntCal09
31.050	26.360	0.178	607.4	35.6	IntCal09
31.000	26.245	0.164	620.7	33.1	IntCal09
30.950	26.151	0.144	629.9	29.2	IntCal09
30.900	26.079	0.126	634.7	25.6	IntCal09
30.850	26.025	0.118	635.8	24.0	IntCal09
30.800	25.980	0.117	635.1	23.8	IntCal09
30.750	25.943	0.116	632.7	23.6	IntCal09
30.700	25.911	0.118	629.3	23.9	IntCal09
30.650	25.874	0.122	627.0	24.7	IntCal09
30.600	25.828	0.128	626.5	25.9	IntCal09
30.550	25.776	0.129	627.2	26.1	IntCal09
30.500	25.723	0.130	628.0	26.3	IntCal09
30.450	25.666	0.136	629.8	27.6	IntCal09
30.400	25.598	0.145	633.7	29.5	IntCal09
30.350	25.515	0.153	640.7	31.2	IntCal09
30.300	25.419	0.151	650.4	31.0	IntCal09
30.250	25.312	0.139	662.5	28.8	IntCal09
30.200	25.193	0.120	677.1	25.1	IntCal09
30.150	25.089	0.087	688.7	18.3	IntCal09
30.100	25.067	0.090	683.1	18.9	IntCal09
30.050	25.085	0.112	669.2	23.3	IntCal09
30.000	25.096	0.123	656.9	25.4	IntCal09
29.950	25.100	0.129	646.1	26.4	IntCal09
29.900	25.099	0.135	636.4	27.5	IntCal09
29.850	25.094	0.142	627.5	28.8	IntCal09
29.800	25.082	0.150	620.1	30.3	IntCal09
29.750	25.063	0.157	614.2	31.5	IntCal09
29.700	25.033	0.158	610.4	31.7	IntCal09
29.650	24.989	0.151	609.5	30.3	IntCal09
29.600	24.926	0.139	612.4	27.9	IntCal09
29.550	24.820	0.152	624.0	30.7	IntCal09
29.500	24.682	0.163	642.1	33.3	IntCal09
29.450	24.559	0.146	657.4	30.1	IntCal09
29.400	24.472	0.130	665.4	27.0	IntCal09
29.350	24.404	0.129	669.4	26.8	IntCal09
29.300	24.339	0.136	672.8	28.3	IntCal09
29.250	24.277	0.134	675.6	28.0	IntCal09
29.200	24.227	0.123	675.9	25.7	IntCal09
29.150	24.194	0.113	672.7	23.5	IntCal09
29.100	24.173	0.106	666.9	22.0	IntCal09
29.050	24.159	0.104	659.8	21.5	IntCal09
29.000	24.146	0.105	652.4	21.6	IntCal09
28.950	24.131	0.106	645.5	21.7	IntCal09
28.900	24.116	0.107	638.7	21.8	IntCal09
28.850	24.099	0.110	632.2	22.4	IntCal09
28.800	24.082	0.116	625.8	23.5	IntCal09
28.750	24.060	0.127	620.5	25.6	IntCal09
28.700	24.028	0.148	617.1	29.8	IntCal09
28.650	23.982	0.178	616.6	35.8	IntCal09
28.600	23.918	0.210	619.7	42.3	IntCal09
28.550	23.836	0.235	626.4	47.6	IntCal09
28.500	23.743	0.245	635.5	49.9	IntCal09
28.450	23.652	0.234	644.1	47.9	IntCal09
28.400	23.574	0.208	650.2	42.7	IntCal09
28.350	23.517	0.175	651.9	36.0	IntCal09
28.300	23.478	0.150	649.9	30.8	IntCal09
28.250	23.450	0.138	645.7	28.3	IntCal09
28.200	23.423	0.142	641.3	29.0	IntCal09
28.150	23.386	0.157	638.9	32.0	IntCal09
28.100	23.333	0.177	639.8	36.1	IntCal09
28.050	23.267	0.194	643.4	39.7	IntCal09
28.000	23.191	0.206	649.0	42.3	IntCal09
27.950	23.110	0.208	655.6	42.9	IntCal09
27.900	23.031	0.202	661.9	41.8	IntCal09
27.850	22.956	0.192	667.4	39.9	IntCal09
27.800	22.886	0.184	671.9	38.3	IntCal09
27.750	22.818	0.178	675.9	37.1	IntCal09
27.700	22.753	0.175	679.3	36.6	IntCal09
27.650	22.691	0.169	682.1	35.4	IntCal09
27.600	22.634	0.158	683.9	33.1	IntCal09
27.550	22.587	0.144	683.6	30.2	IntCal09
27.500	22.551	0.129	680.9	27.0	IntCal09
27.450	22.528	0.118	675.6	24.6	IntCal09
27.400	22.519	0.114	667.3	23.7	IntCal09
27.350	22.524	0.118	656.3	24.3	IntCal09
27.300	22.542	0.126	642.6	25.8	IntCal09
27.250	22.568	0.133	627.4	26.9	IntCal09
27.200	22.594	0.136	612.4	27.3	IntCal09
27.150	22.608	0.139	599.9	27.7	IntCal09
27.100	22.601	0.147	591.6	29.1	IntCal09
27.050	22.571	0.161	587.9	31.8	IntCal09
27.000	22.523	0.171	587.8	33.8	IntCal09
26.950	22.464	0.173	589.9	34.2	IntCal09
26.900	22.402	0.169	592.5	33.5	IntCal09
26.850	22.342	0.166	594.8	33.0	IntCal09
26.800	22.282	0.166	597.0	33.0	IntCal09
26.750	22.221	0.166	599.5	33.1	IntCal09
26.700	22.160	0.163	602.0	32.5	IntCal09
26.650	22.107	0.151	602.9	30.1	IntCal09
26.600	22.068	0.135	601.0	26.9	IntCal09
26.550	22.048	0.121	595.3	24.0	IntCal09
26.500	22.048	0.114	585.6	22.5	IntCal09
26.475	22.180	0.085	555.0	11.0	Southon12
26.090	21.970	0.080	523.0	10.0	Southon12
25.793	21.385	0.070	581.0	9.0	Southon12
25.498	20.960	0.070	608.0	9.0	Southon12
25.157	20.785	0.065	577.0	8.0	Southon12
24.982	20.705	0.065	559.0	8.0	Southon12
24.865	20.585	0.065	561.0	8.0	Southon12
24.518	20.635	0.065	487.0	8.0	Southon12
23.805	19.705	0.065	532.0	8.0	Southon12
22.897	18.913	0.060	515.0	7.0	Southon12
22.351	18.400	0.060	511.0	7.0	Southon12
22.265	18.325	0.063	510.0	8.0	Southon12
22.109	18.165	0.060	512.0	7.0	Southon12
21.808	17.848	0.058	516.0	7.0	Southon12
21.540	17.745	0.055	487.0	7.0	Southon12
21.420	17.725	0.068	469.0	8.0	Southon12
21.329	17.600	0.060	476.0	7.0	Southon12
21.159	17.520	0.070	460.0	9.0	Southon12
20.976	17.410	0.080	448.0	10.0	Southon12
20.789	17.200	0.065	453.0	8.0	Southon12
20.640	17.105	0.065	444.0	8.0	Southon12
20.534	16.995	0.065	445.0	8.0	Southon12
20.436	16.870	0.065	450.0	8.0	Southon12
20.247	16.785	0.065	433.0	8.0	Southon12
19.830	16.388	0.060	431.0	7.0	Southon12
19.478	16.015	0.063	437.0	8.0	Southon12
19.369	16.058	0.060	411.0	7.0	Southon12
19.277	16.045	0.060	397.0	7.0	Southon12
19.210	15.960	0.060	401.0	7.0	Southon12
19.203	15.880	0.060	413.0	7.0	Southon12
19.169	15.875	0.065	409.0	8.0	Southon12
19.128	15.825	0.060	410.0	7.0	Southon12
19.091	15.870	0.060	396.0	7.0	Southon12
19.068	15.885	0.065	390.0	8.0	Southon12
19.004	15.775	0.060	398.0	7.0	Southon12
18.938	15.745	0.060	392.0	7.0	Southon12
18.927	15.710	0.060	396.0	7.0	Southon12
18.886	15.610	0.060	407.0	7.0	Southon12
18.843	15.585	0.065	404.0	8.0	Southon12
18.842	15.570	0.065	406.0	8.0	Southon12
18.832	15.615	0.065	397.0	8.0	Southon12
18.831	15.620	0.065	396.0	8.0	Southon12
18.758	15.525	0.065	400.0	8.0	Southon12
18.698	15.345	0.065	421.0	8.0	Southon12
18.620	15.360	0.065	405.0	8.0	Southon12
18.529	15.270	0.060	406.0	7.0	Southon12
18.484	15.250	0.060	401.0	7.0	Southon12
18.455	15.233	0.063	400.0	8.0	Southon12
18.450	15.095	0.065	423.0	8.0	Southon12
18.381	15.155	0.060	400.0	7.0	Southon12
18.308	15.050	0.060	406.0	7.0	Southon12
18.250	14.960	0.065	412.0	8.0	Southon12
18.053	14.860	0.070	396.0	9.0	Southon12
17.821	14.565	0.065	409.0	8.0	Southon12
17.716	14.625	0.065	380.0	8.0	Southon12
